tipo,lat,lng
Chapéu chinês,-25.52145903,-49.29561682,
Placa em cano,-25.50816,-49.27101,
Domus,-25.49447557,-49.29899347,
Linha Turismo,-25.44800966,-49.25745428,
Chapéu chinês,-25.39524546,-49.23957402,
Domus,-25.46047937,-49.20630598,
Chapéu chinês,-25.40470454,-49.3405919,
Domus,-25.53850445,-49.24172927,
Chapéu chinês,-25.46131955,-49.33027743,
Novo mobiliário,-25.45034,-49.25677,
Chapéu chinês,-25.58278726,-49.33748586,
Placa em cano,-25.53967313,-49.24205624,
Novo mobiliário,-25.47138932,-49.21716638,
Plataforma,-25.40071648,-49.33059463,
Domus,-25.49898758,-49.27269047,
Sem demarcação,-25.35394698,-49.27142341,
Domus,-25.40439926,-49.34489818,
Novo mobiliário,-25.42525579,-49.26956076,
Novo mobiliário,-25.48571,-49.29971,
Novo mobiliário,-25.45952402,-49.23869859,
Placa em cano,-25.52054,-49.24324,
Chapéu chinês,-25.46488369,-49.31150568,
Novo mobiliário,-25.43287069,-49.27631322,
Plataforma,-25.53432591,-49.26782333,
Novo mobiliário,-25.48425,-49.25528,
Especial Madrugueiro,-25.4417051,-49.23060805,
Domus,-25.459544,-49.22102618,
Domus,-25.48523758,-49.27233416,
Chapéu chinês,-25.4138638,-49.29804256,
Placa em cano,-25.41924076,-49.22463912,
Chapéu chinês,-25.48493,-49.20566,
Novo mobiliário,-25.48583877,-49.31833002,
Especial Madrugueiro,-25.44217741,-49.21783939,
Chapéu chinês,-25.42935335,-49.32459414,
Chapéu chinês,-25.59535663,-49.33153689,
Placa em cano,-25.36602261,-49.23992637,
Domus,-25.38682605,-49.24987709,
Domus,-25.47924532,-49.28578812,
Novo mobiliário,-25.47616337,-49.24000474,
Novo mobiliário,-25.4348,-49.23941,
Chapéu chinês,-25.52748914,-49.29017178,
Novo mobiliário,-25.45328832,-49.26922162,
Novo mobiliário,-25.45776885,-49.29036263,
Estação tubo,-25.45692016,-49.28850751,
Sem demarcação,-25.37702169,-49.30636469,
Novo mobiliário,-25.49146189,-49.32236675,
Chapéu chinês,-25.55049,-49.26102,
Novo mobiliário,-25.39744,-49.25669,
Sem demarcação,-25.39695945,-49.28749567,
Placa em cano,-25.56059195,-49.25087071,
Novo mobiliário,-25.4565172,-49.27801249,
Placa em cano,-25.48225955,-49.23022357,
Novo mobiliário,-25.5302,-49.24684,
Placa em poste,-25.58255125,-49.29528448,
Chapéu chinês,-25.47995845,-49.2814815,
Sem demarcação,-25.42230022,-49.30073992,
Domus,-25.49234202,-49.21142773,
Novo mobiliário,-25.43754409,-49.30206511,
Especial Madrugueiro,-25.41524807,-49.26061392,
Placa em poste,-25.48674125,-49.22784176,
Domus,-25.52056086,-49.29015845,
Especial Madrugueiro,-25.44485863,-49.28539418,
Chapéu chinês,-25.52202432,-49.30496457,
